lang,vocabSize,n,meanWordsPlaced,stdWordsPlaced,meanElapsedMs,stdElapsedMs,p95ElapsedMs,errorPct
el,10,200,1.19,0.39,0.086,0.036,0.136,0.0
el,100,200,1.80,0.79,1.140,0.263,1.607,0.0
el,1000,200,3.38,1.35,15.034,1.186,16.708,0.0
el,10000,200,7.74,1.79,169.513,16.196,203.111,0.0
el,3000,200,5.05,1.65,48.040,4.279,54.640,0.0
el,500,200,2.85,1.17,7.165,0.582,8.154,0.0
el,6000,200,6.59,2.08,97.967,7.736,109.945,0.0
en,10,200,1.41,0.56,0.108,0.068,0.213,0.0
en,100,200,2.42,0.96,1.185,0.303,1.719,0.0
en,1000,200,4.42,1.64,14.597,1.640,17.454,0.0
en,10000,200,9.01,2.33,159.361,17.860,194.216,0.0
en,3000,200,6.34,1.98,46.448,4.162,52.650,0.0
en,500,200,3.66,1.41,7.013,0.706,8.289,0.0
en,6000,200,8.01,2.22,95.152,11.239,111.848,0.0
fa,10,200,1.74,0.58,0.120,0.037,0.168,0.0
fa,100,200,2.95,0.85,1.552,0.214,2.049,0.0
fa,1000,200,5.48,1.60,19.558,2.803,23.538,0.0
fa,10000,200,9.70,2.34,191.433,16.501,221.418,0.0
fa,3000,200,7.62,2.18,58.492,4.694,67.781,0.0
fa,500,200,4.41,1.35,8.917,0.989,10.079,0.0
fa,6000,200,9.18,2.34,118.026,11.800,141.923,0.0
